,line,module,job_id,state,time
45,A,3,1,waiting_on_precedent,2022-02-18T22:42:22.210799
46,C,5,60,processing,2022-02-18T04:14:09.609400
47,C,7,56,fetching_job,2022-02-18T06:46:41.409200
48,C,4,61,fetching_job,2022-02-18T03:38:36.270400
49,A,2,9,fetching_job,2022-02-18T14:10:02.204200
50,B,6,31,processing,2022-02-18T12:49:47.668040
51,C,1,60,storing_job,2022-02-18T03:09:57.574200
52,B,4,24,storing_job,2022-02-18T18:09:25.170360
53,B,5,34,fetching_job,2022-02-18T10:03:10.350040
54,B,5,32,processing,2022-02-18T11:44:06.448440
55,B,1,39,processing,2022-02-18T01:06:38
56,A,3,19,waiting_on_precedent,2022-02-18T04:32:30.749200
57,C,4,40,waiting_on_precedent,2022-02-18T11:46:03.652200
58,A,1,21,processing,2022-02-18T01:10:12
59,C,1,64,processing,2022-02-18T01:32:34.732000
60,C,2,40,processing,2022-02-18T11:56:33.393000
61,C,5,50,waiting_on_precedent,2022-02-18T08:54:44.853800
62,B,1,34,fetching_job,2022-02-18T04:50:20.619880
63,C,6,64,processing,2022-02-18T03:06:15.635600
64,C,3,42,processing,2022-02-18T11:15:49.796000
65,A,1,13,fetching_job,2022-02-18T07:51:05.664600
66,B,1,29,processing,2022-02-18T08:00:00.999560
67,D,3,66,fetching_job,2022-02-18T06:13:02.585600
68,C,6,60,fetching_job,2022-02-18T04:36:12.736400
69,B,6,36,waiting_on_precedent,2022-02-18T08:43:35.536440
70,A,2,8,storing_job,2022-02-18T16:04:36.710400
71,C,7,41,fetching_job,2022-02-18T13:38:59.132600
72,C,2,64,fetching_job,2022-02-18T01:54:59.316800
73,D,2,70,storing_job,2022-02-18T02:41:53.017800
74,B,6,34,waiting_on_precedent,2022-02-18T10:34:07.880840
75,D,3,73,fetching_job,2022-02-18T01:43:27.223600
76,A,1,5,storing_job,2022-02-18T16:36:01.383400
77,B,4,25,storing_job,2022-02-18T17:11:10.692760
78,C,2,52,processing,2022-02-18T06:10:19.970200
79,C,6,40,fetching_job,2022-02-18T13:38:59.132600
80,C,4,49,waiting_on_precedent,2022-02-18T08:56:17.837600
81,B,5,30,processing,2022-02-18T12:49:47.668040
82,A,3,1,idle,2022-02-18T23:55:55.487800
83,B,6,34,fetching_job,2022-02-18T10:49:40.797040
84,C,5,64,processing,2022-02-18T02:37:24.914400
85,C,2,59,fetching_job,2022-02-18T03:35:35.071199
86,A,1,11,storing_job,2022-02-18T10:37:46.160600
87,C,6,45,storing_job,2022-02-18T11:05:39.440800
88,A,2,10,storing_job,2022-02-18T13:59:50.204200
89,C,4,52,processing,2022-02-18T06:58:02.978400
90,C,4,58,processing,2022-02-18T04:56:16.653400
91,B,4,34,storing_job,2022-02-18T09:23:28.196960
92,B,6,26,processing,2022-02-18T16:47:07.765160
93,C,4,48,storing_job,2022-02-18T09:39:12.461600
94,C,7,42,waiting_on_precedent,2022-02-18T13:24:41.132600
95,B,5,36,storing_job,2022-02-18T09:13:33.296040
96,B,6,22,fetching_job,2022-02-18T20:54:32.357160
97,B,2,30,fetching_job,2022-02-18T09:23:14.499560
98,B,4,29,fetching_job,2022-02-18T12:35:29.382760
99,C,5,55,fetching_job,2022-02-18T06:19:04.598200
100,D,3,68,fetching_job,2022-02-18T05:18:01.559800
101,C,2,41,waiting_on_precedent,2022-02-18T10:57:09.326000
102,C,6,50,waiting_on_precedent,2022-02-18T09:16:14.498000
103,B,1,30,fetching_job,2022-02-18T07:12:43.648760
104,C,4,42,fetching_job,2022-02-18T11:20:35.796000
105,B,6,31,waiting_on_precedent,2022-02-18T12:08:41.633640
106,D,2,73,fetching_job,2022-02-18T01:22:50.369400
107,C,4,44,processing,2022-02-18T10:49:12.590000
108,C,2,41,fetching_job,2022-02-18T11:17:27.652200
109,C,1,51,storing_job,2022-02-18T07:39:46.804400
110,C,7,65,processing,2022-02-18T02:44:17.173000
111,C,5,57,storing_job,2022-02-18T05:32:18.706800
112,B,5,23,storing_job,2022-02-18T20:00:12.220360
113,C,4,52,processing,2022-02-18T06:58:02.978400
114,C,2,56,waiting_on_precedent,2022-02-18T04:34:54.057799
115,B,5,37,processing,2022-02-18T07:46:07.013840
116,C,3,45,fetching_job,2022-02-18T09:52:59.467000
117,C,7,58,fetching_job,2022-02-18T05:37:04.706800
118,C,4,65,fetching_job,2022-02-18T01:55:49.177000
119,B,3,31,fetching_job,2022-02-18T09:23:14.499560
120,C,1,44,processing,2022-02-18T09:44:26.968000
121,A,1,12,waiting_on_next,2022-02-18T08:50:54.581000
122,C,1,63,storing_job,2022-02-18T02:13:58.860400
123,C,3,48,processing,2022-02-18T09:15:05.460200
124,C,5,65,processing,2022-02-18T02:10:07.176999
125,C,2,53,storing_job,2022-02-18T06:00:47.970200
126,C,3,60,processing,2022-02-18T03:43:22.270400
127,C,7,65,fetching_job,2022-02-18T02:39:31.173000
128,C,5,62,fetching_job,2022-02-18T03:29:27.904400
129,B,3,36,fetching_job,2022-02-18T05:57:34.365960
130,C,5,43,fetching_job,2022-02-18T11:20:35.796000
131,C,5,55,storing_job,2022-02-18T06:38:54.210000
132,D,2,69,fetching_job,2022-02-18T02:51:11.925600
133,B,6,27,fetching_job,2022-02-18T16:00:14.310960
134,C,7,53,processing,2022-02-18T07:37:41.994000
135,C,6,44,storing_job,2022-02-18T11:15:11.440800
136,C,4,57,fetching_job,2022-02-18T05:18:00.706800
137,C,1,51,processing,2022-02-18T06:10:19.970200
138,C,2,42,fetching_job,2022-02-18T10:47:37.326000
139,B,5,24,fetching_job,2022-02-18T18:16:03.170360
140,C,1,65,fetching_job,2022-02-18T01:00:00
141,C,7,65,waiting_on_precedent,2022-02-18T01:00:00
142,A,3,6,processing,2022-02-18T18:42:35.584200
143,A,1,21,storing_job,2022-02-18T01:42:25.786400
144,C,6,52,processing,2022-02-18T07:37:41.994000
145,B,6,30,waiting_on_precedent,2022-02-18T13:08:03.235240
146,B,6,38,fetching_job,2022-02-18T07:39:29.013840
147,B,3,24,fetching_job,2022-02-18T15:22:44.354159
148,B,6,27,waiting_on_precedent,2022-02-18T15:44:39.556560
149,C,7,58,waiting_on_precedent,2022-02-18T05:24:45.708800
150,B,3,31,waiting_on_precedent,2022-02-18T09:21:13.178360
151,C,4,63,storing_job,2022-02-18T03:01:15.434399
152,A,1,4,fetching_job,2022-02-18T16:46:13.383400
153,B,1,35,storing_job,2022-02-18T04:43:42.619880
154,B,6,36,fetching_job,2022-02-18T09:20:11.296040
155,C,1,43,processing,2022-02-18T09:53:58.968000
156,C,7,51,waiting_on_precedent,2022-02-18T07:58:07.368800
157,D,4,72,fetching_job,2022-02-18T03:53:36.771600
158,B,3,26,storing_job,2022-02-18T14:27:08.851159
159,B,4,25,processing,2022-02-18T15:54:35.192760
160,B,5,29,processing,2022-02-18T13:36:13.703360
161,B,6,30,fetching_job,2022-02-18T13:23:01.225640
162,A,3,4,fetching_job,2022-02-18T20:14:35.457600
163,C,5,49,fetching_job,2022-02-18T09:34:26.461600
164,C,4,55,storing_job,2022-02-18T05:54:33.650800
165,C,2,61,processing,2022-02-18T02:51:14.616000
166,A,1,17,storing_job,2022-02-18T04:35:36.166200
167,B,1,37,fetching_job,2022-02-18T02:56:07.632079
168,B,1,27,fetching_job,2022-02-18T09:36:30.499560
169,D,3,69,processing,2022-02-18T04:54:35.154600
170,C,5,40,idle,2022-02-18T13:38:59.132600
171,B,1,24,storing_job,2022-02-18T12:56:46.101760
172,A,3,11,processing,2022-02-18T13:59:50.204200
173,C,1,58,fetching_job,2022-02-18T03:35:35.071199
174,B,5,25,storing_job,2022-02-18T17:55:03.054560
175,C,4,58,fetching_job,2022-02-18T04:51:30.653400
176,D,3,69,fetching_job,2022-02-18T04:51:15.154600
177,C,2,52,storing_job,2022-02-18T06:25:21.197800
178,C,4,43,processing,2022-02-18T11:15:49.796000
179,A,1,2,fetching_job,2022-02-18T18:52:47.584200
180,C,7,50,fetching_job,2022-02-18T09:43:37.003800
181,C,5,49,processing,2022-02-18T09:39:12.461600
182,C,7,41,waiting_on_precedent,2022-02-18T13:34:13.132600
183,A,2,2,processing,2022-02-18T21:18:58.871600
184,B,6,39,processing,2022-02-18T05:57:09.212320
185,C,2,59,waiting_on_precedent,2022-02-18T03:24:15.574200
186,C,5,60,fetching_job,2022-02-18T04:09:23.609400
187,C,6,59,storing_job,2022-02-18T05:15:13.708800
188,A,1,11,processing,2022-02-18T09:49:10.775400
189,B,1,33,fetching_job,2022-02-18T05:17:06.103759
190,A,2,17,storing_job,2022-02-18T06:47:16.508600
191,A,1,6,processing,2022-02-18T15:02:45.384600
192,C,3,51,processing,2022-02-18T08:16:34.157600
193,C,5,56,waiting_on_precedent,2022-02-18T05:37:04.706800
194,B,3,35,processing,2022-02-18T06:52:49.648760
195,C,2,51,storing_job,2022-02-18T08:07:02.157600
196,C,1,49,processing,2022-02-18T08:16:29.389200
197,C,1,49,fetching_job,2022-02-18T08:11:43.389200
198,A,2,14,processing,2022-02-18T09:28:46.775400
199,B,6,26,fetching_job,2022-02-18T16:40:29.765160
200,C,3,43,storing_job,2022-02-18T11:06:17.796000
201,B,4,23,fetching_job,2022-02-18T18:16:03.170360
202,C,6,41,processing,2022-02-18T13:34:13.132600
203,A,3,12,fetching_job,2022-02-18T12:28:10.671600
204,B,5,24,processing,2022-02-18T18:22:41.170360
205,C,3,45,storing_job,2022-02-18T09:57:45.467000
206,C,3,52,fetching_job,2022-02-18T06:30:07.197800
207,C,7,40,waiting_on_precedent,2022-02-18T13:43:45.132600
208,A,2,11,storing_job,2022-02-18T13:39:26.204200
209,C,6,42,processing,2022-02-18T13:24:41.132600
210,A,1,8,waiting_on_next,2022-02-18T13:34:04.278000
211,A,1,2,waiting_on_next,2022-02-18T19:28:30.804800
212,B,3,39,processing,2022-02-18T02:17:08.184639
213,B,1,26,fetching_job,2022-02-18T10:25:57.413759
214,C,6,44,fetching_job,2022-02-18T11:10:25.440800
215,B,1,22,waiting_on_next,2022-02-18T14:23:20.973759
216,C,7,62,waiting_on_precedent,2022-02-18T03:59:30.151600
217,B,2,39,processing,2022-02-18T02:03:52.184640
218,C,7,57,fetching_job,2022-02-18T06:05:57.812200
219,C,3,44,processing,2022-02-18T10:20:24.253000
220,C,4,47,processing,2022-02-18T09:48:44.461600
221,A,3,18,processing,2022-02-18T06:03:42.588200
222,D,2,69,storing_job,2022-02-18T03:56:56.771600
223,C,3,62,storing_job,2022-02-18T03:15:09.904399
224,D,4,72,processing,2022-02-18T03:56:56.771600
225,D,1,70,storing_job,2022-02-18T02:15:42.375600
226,A,1,15,fetching_job,2022-02-18T05:42:08.374799
227,C,1,44,fetching_job,2022-02-18T09:39:40.968000
228,D,1,66,processing,2022-02-18T03:36:59.544200
229,B,4,23,storing_job,2022-02-18T18:53:50.619760
230,C,6,48,processing,2022-02-18T10:25:27.254400
231,A,1,18,fetching_job,2022-02-18T03:25:41.755600
232,B,3,39,waiting_on_precedent,2022-02-18T01:00:00
233,C,3,65,fetching_job,2022-02-18T01:37:20.732000
234,B,6,32,fetching_job,2022-02-18T12:02:03.633640
235,B,3,38,processing,2022-02-18T04:23:00.672560
236,C,5,58,fetching_job,2022-02-18T05:18:00.706800
237,C,4,41,waiting_on_precedent,2022-02-18T11:30:07.796000
238,C,4,40,fetching_job,2022-02-18T12:10:51.393000
239,A,1,19,storing_job,2022-02-18T03:15:29.755599
240,C,6,53,storing_job,2022-02-18T07:28:09.994000
241,D,2,69,waiting_on_precedent,2022-02-18T02:45:13.017800
242,C,7,63,processing,2022-02-18T03:59:30.151600
243,B,6,33,waiting_on_precedent,2022-02-18T11:22:21.267040
244,C,7,61,processing,2022-02-18T04:37:45.616199
245,C,1,57,processing,2022-02-18T04:03:38.004399
246,B,3,24,waiting_on_precedent,2022-02-18T14:52:20.859759
247,B,4,28,storing_job,2022-02-18T14:14:27.776960
248,A,2,2,fetching_job,2022-02-18T21:08:46.871600
249,B,6,25,processing,2022-02-18T18:08:19.054560
250,C,5,65,waiting_on_precedent,2022-02-18T01:00:00
251,A,3,7,processing,2022-02-18T17:40:55.528800
252,B,3,25,storing_job,2022-02-18T14:45:42.859759
253,A,1,12,fetching_job,2022-02-18T08:29:48.361000
254,A,1,3,waiting_on_next,2022-02-18T18:20:04.507200
255,C,4,41,processing,2022-02-18T11:41:17.652200
256,C,5,53,processing,2022-02-18T06:57:58.210000
257,B,1,22,storing_job,2022-02-18T14:45:42.859759
258,D,2,71,fetching_job,2022-02-18T02:05:48.982600
259,C,3,62,processing,2022-02-18T03:01:15.434399
260,A,2,6,storing_job,2022-02-18T18:22:11.584200
261,A,3,17,waiting_on_precedent,2022-02-18T06:41:45.632600
262,B,5,22,storing_job,2022-02-18T20:47:54.357160
263,C,5,50,processing,2022-02-18T09:01:03.837600
264,D,4,67,fetching_job,2022-02-18T06:13:02.585600
265,A,3,16,fetching_job,2022-02-18T08:09:24.361000
266,A,3,17,processing,2022-02-18T07:07:40.508600
267,C,2,63,storing_job,2022-02-18T02:23:30.860400
268,C,3,56,storing_job,2022-02-18T05:21:16.107199
269,D,2,73,processing,2022-02-18T01:26:10.369400
270,B,5,25,processing,2022-02-18T17:24:26.692760
271,B,3,34,storing_job,2022-02-18T08:02:18.745759
272,C,5,42,storing_job,2022-02-18T13:15:09.132600
273,B,2,34,processing,2022-02-18T06:52:49.648760
274,A,1,3,storing_job,2022-02-18T18:42:35.584200
275,B,1,22,processing,2022-02-18T14:08:42.314159
276,B,5,26,storing_job,2022-02-18T16:33:51.765160
277,C,7,57,waiting_on_precedent,2022-02-18T05:54:07.424600
278,A,2,4,fetching_job,2022-02-18T19:38:35.693199
279,A,3,15,processing,2022-02-18T09:28:46.775400
280,C,6,56,waiting_on_precedent,2022-02-18T06:05:57.812200
281,C,3,51,fetching_job,2022-02-18T08:11:48.157600
282,C,7,48,processing,2022-02-18T10:34:59.254400
283,B,1,23,storing_job,2022-02-18T13:55:26.314159
284,B,5,23,processing,2022-02-18T19:20:33.589560
285,C,4,59,storing_job,2022-02-18T04:32:16.804600
286,C,4,55,processing,2022-02-18T05:54:33.650800
287,D,2,67,processing,2022-02-18T04:28:09.661600
288,D,3,73,storing_job,2022-02-18T02:03:21.435000
289,C,3,49,fetching_job,2022-02-18T08:46:45.837600
290,C,3,54,processing,2022-02-18T05:48:59.862800
291,B,4,29,storing_job,2022-02-18T13:22:57.703360
292,C,5,46,processing,2022-02-18T10:32:29.049800
293,B,4,24,processing,2022-02-18T17:24:26.692760
294,B,1,38,storing_job,2022-02-18T02:49:29.632079
295,C,5,44,fetching_job,2022-02-18T10:53:58.590000
296,C,4,45,storing_job,2022-02-18T10:25:07.972800
297,B,3,26,processing,2022-02-18T13:55:26.314159
298,C,4,41,storing_job,2022-02-18T11:41:17.652200
299,C,7,54,waiting_on_precedent,2022-02-18T07:13:23.383600
300,A,1,1,idle,2022-02-18T21:20:26.938199
301,C,5,64,fetching_job,2022-02-18T02:32:38.914400
302,C,2,40,storing_job,2022-02-18T11:56:33.393000
303,C,6,41,processing,2022-02-18T13:34:13.132600
304,C,3,50,waiting_on_precedent,2022-02-18T08:35:40.853800
305,B,5,39,fetching_job,2022-02-18T04:42:13.069840
306,B,2,24,fetching_job,2022-02-18T14:39:04.859759
307,C,1,55,processing,2022-02-18T04:57:21.026800
308,C,3,64,storing_job,2022-02-18T02:18:20.914400
309,B,3,27,processing,2022-02-18T12:56:46.101760
310,B,4,39,processing,2022-02-18T03:27:51.912560
311,D,4,67,waiting_on_precedent,2022-02-18T05:56:23.878600
312,B,6,25,fetching_job,2022-02-18T18:01:41.054560
313,C,6,41,storing_job,2022-02-18T13:34:13.132600
314,C,2,53,waiting_on_precedent,2022-02-18T05:44:13.862799
315,C,7,46,waiting_on_precedent,2022-02-18T10:56:07.440800
316,D,3,70,storing_job,2022-02-18T04:47:55.154600
317,D,3,66,idle,2022-02-18T06:44:27.942200
318,B,5,27,storing_job,2022-02-18T15:53:36.310960
319,C,5,47,fetching_job,2022-02-18T10:18:11.049800
320,C,4,56,storing_job,2022-02-18T05:45:01.650800
321,B,3,23,processing,2022-02-18T16:12:26.922759
322,C,6,41,fetching_job,2022-02-18T13:29:27.132600
323,C,4,61,waiting_on_precedent,2022-02-18T03:29:27.904400
324,B,5,33,processing,2022-02-18T10:56:18.797040
325,D,2,66,processing,2022-02-18T05:01:15.154600
326,A,1,3,storing_job,2022-02-18T18:42:35.584200
327,B,4,37,fetching_job,2022-02-18T06:25:51.024559
328,C,5,53,fetching_job,2022-02-18T06:53:12.210000
329,C,1,50,storing_job,2022-02-18T08:06:57.389200
330,C,4,60,waiting_on_precedent,2022-02-18T03:48:08.270400
331,A,1,11,waiting_on_next,2022-02-18T09:49:10.775400
332,B,5,31,fetching_job,2022-02-18T11:50:44.448440
333,C,5,50,fetching_job,2022-02-18T08:56:17.837600
334,D,1,66,storing_job,2022-02-18T04:03:36.771600
335,D,4,70,fetching_job,2022-02-18T04:51:15.154600
336,C,2,40,idle,2022-02-18T12:01:19.393000
337,C,2,48,processing,2022-02-18T08:51:31.837600
338,C,3,61,storing_job,2022-02-18T03:33:50.270400
339,A,3,2,processing,2022-02-18T22:13:32.464599
340,D,4,69,fetching_job,2022-02-18T05:18:01.559800
341,A,1,15,processing,2022-02-18T05:52:20.374799
342,A,2,12,processing,2022-02-18T11:27:01.745000
343,B,3,23,processing,2022-02-18T16:12:26.922759
344,A,1,17,fetching_job,2022-02-18T04:25:24.166200
345,B,2,30,processing,2022-02-18T09:29:52.499560
346,C,5,51,fetching_job,2022-02-18T08:45:12.853800
347,C,1,43,fetching_job,2022-02-18T09:49:12.968000
348,B,1,30,storing_job,2022-02-18T07:46:44.999560
349,C,6,56,processing,2022-02-18T06:23:50.598200
350,C,1,63,processing,2022-02-18T01:59:45.316800
351,C,4,60,fetching_job,2022-02-18T03:56:55.178600
352,C,3,49,storing_job,2022-02-18T09:05:33.460200
353,C,3,50,processing,2022-02-18T08:41:59.837600
354,B,1,36,processing,2022-02-18T03:41:34.690880
355,A,2,10,fetching_job,2022-02-18T13:49:38.204200
356,A,1,7,fetching_job,2022-02-18T14:10:02.204200
357,B,2,35,processing,2022-02-18T06:04:12.365960
358,C,5,62,storing_job,2022-02-18T03:45:57.243400
359,C,1,49,storing_job,2022-02-18T08:16:29.389200
360,C,2,53,fetching_job,2022-02-18T05:56:01.970200
361,B,1,35,processing,2022-02-18T04:18:16.913880
362,C,5,59,processing,2022-02-18T04:41:48.804600
363,C,3,61,processing,2022-02-18T03:24:41.904400
364,C,3,61,fetching_job,2022-02-18T03:19:55.904399
365,B,3,24,processing,2022-02-18T15:29:22.354159
366,C,1,40,processing,2022-02-18T11:22:13.652200
367,B,1,25,storing_job,2022-02-18T12:04:30.073160
368,B,2,22,storing_job,2022-02-18T17:01:07.822559
369,B,2,22,processing,2022-02-18T16:12:26.922759
370,C,4,64,waiting_on_precedent,2022-02-18T02:05:21.177000
371,B,4,32,storing_job,2022-02-18T10:51:57.037360
372,B,1,32,storing_job,2022-02-18T06:52:49.648760
373,A,2,20,processing,2022-02-18T02:58:14.849000
374,D,3,72,fetching_job,2022-02-18T02:06:41.435000
375,A,2,11,fetching_job,2022-02-18T12:28:10.671600
376,B,3,31,processing,2022-02-18T09:29:52.499560
377,C,1,43,storing_job,2022-02-18T10:10:35.563600
378,C,6,49,processing,2022-02-18T09:59:04.353600
379,C,1,50,fetching_job,2022-02-18T07:44:32.804400
380,C,6,61,storing_job,2022-02-18T04:28:13.616199
381,C,4,63,processing,2022-02-18T03:01:15.434399
382,C,4,43,waiting_on_precedent,2022-02-18T10:53:58.590000
383,C,1,59,fetching_job,2022-02-18T03:14:43.574200
384,A,1,8,fetching_job,2022-02-18T12:48:34.671600
385,C,6,56,storing_job,2022-02-18T06:41:55.409200
386,A,3,21,fetching_job,2022-02-18T02:48:02.849000
387,C,2,61,fetching_job,2022-02-18T02:46:28.616000
388,C,1,60,processing,2022-02-18T02:51:14.616000
389,A,1,14,fetching_job,2022-02-18T07:01:55.594800
390,A,3,16,waiting_on_precedent,2022-02-18T07:36:55.989600
391,A,2,7,processing,2022-02-18T16:25:00.710400
392,A,1,19,fetching_job,2022-02-18T02:41:14.768599
393,C,1,48,processing,2022-02-18T08:26:01.389200
394,C,7,49,fetching_job,2022-02-18T10:20:41.254400
395,B,5,34,processing,2022-02-18T10:09:48.350040
396,A,2,2,storing_job,2022-02-18T21:53:08.464599
397,D,3,69,storing_job,2022-02-18T05:14:41.559800
398,B,2,33,storing_job,2022-02-18T07:33:28.999560
399,C,5,58,storing_job,2022-02-18T05:22:46.706800
400,C,2,58,storing_job,2022-02-18T04:05:03.835599
401,C,3,40,idle,2022-02-18T12:10:51.393000
402,B,6,36,processing,2022-02-18T09:26:49.296040
403,B,4,35,processing,2022-02-18T08:05:17.051160
404,C,2,55,fetching_job,2022-02-18T05:12:48.376600
405,C,5,65,fetching_job,2022-02-18T02:05:21.177000
406,C,6,47,processing,2022-02-18T10:34:59.254400
407,A,3,8,waiting_on_precedent,2022-02-18T16:12:22.016200
408,A,2,20,processing,2022-02-18T02:58:14.849000
409,B,2,23,processing,2022-02-18T15:29:22.354159
410,A,3,10,processing,2022-02-18T14:44:28.341000
411,C,3,45,processing,2022-02-18T09:57:45.467000
412,C,2,58,fetching_job,2022-02-18T04:00:17.835599
413,B,5,25,waiting_on_precedent,2022-02-18T16:40:29.765160
414,C,3,58,processing,2022-02-18T04:32:16.804600
415,B,4,23,processing,2022-02-18T18:22:41.170360
416,C,3,63,fetching_job,2022-02-18T02:28:16.860400
417,C,5,64,waiting_on_precedent,2022-02-18T02:29:59.173000
418,C,3,63,processing,2022-02-18T02:33:02.860400
419,C,6,43,processing,2022-02-18T13:15:09.132600
420,C,1,61,fetching_job,2022-02-18T02:28:16.860400
421,C,7,42,processing,2022-02-18T13:34:13.132600
422,A,3,14,fetching_job,2022-02-18T10:27:34.160600
423,C,4,64,storing_job,2022-02-18T02:27:52.914400
424,B,4,28,fetching_job,2022-02-18T13:29:35.703360
425,B,5,39,storing_job,2022-02-18T05:43:53.212319
426,C,3,64,processing,2022-02-18T02:09:17.316800
427,C,5,49,waiting_on_precedent,2022-02-18T09:18:56.623600
428,C,2,59,processing,2022-02-18T03:40:21.071199
429,C,3,47,processing,2022-02-18T09:38:41.467000
430,A,2,10,processing,2022-02-18T13:59:50.204200
431,C,6,58,fetching_job,2022-02-18T05:27:32.706800
432,B,6,32,processing,2022-02-18T12:08:41.633640
433,B,5,26,processing,2022-02-18T16:06:52.310960
434,C,2,48,storing_job,2022-02-18T08:51:31.837600
435,A,1,11,processing,2022-02-18T09:49:10.775400
436,B,4,26,processing,2022-02-18T15:14:14.223960
437,B,1,39,fetching_job,2022-02-18T01:00:00
438,B,2,29,storing_job,2022-02-18T10:57:51.869360
439,C,6,48,storing_job,2022-02-18T10:25:27.254400
440,A,1,12,storing_job,2022-02-18T09:28:46.775400
441,C,4,61,processing,2022-02-18T03:43:22.270400
442,B,3,38,waiting_on_precedent,2022-02-18T03:21:13.912560
443,B,5,30,storing_job,2022-02-18T13:16:23.225640
444,B,3,27,storing_job,2022-02-18T12:56:46.101760
445,C,4,50,waiting_on_precedent,2022-02-18T08:45:12.853800
446,C,4,51,fetching_job,2022-02-18T08:35:40.853800
447,C,7,46,processing,2022-02-18T11:05:39.440800
448,B,3,27,waiting_on_precedent,2022-02-18T12:32:16.431160
449,A,1,9,fetching_job,2022-02-18T11:37:13.745000
450,A,1,14,processing,2022-02-18T07:12:07.594800
451,C,7,40,idle,2022-02-18T13:53:17.132600
452,B,5,22,idle,2022-02-18T20:54:32.357160
453,C,2,49,fetching_job,2022-02-18T08:37:13.837600
454,A,3,12,processing,2022-02-18T12:38:22.671600
455,D,3,71,fetching_job,2022-02-18T03:53:36.771600
456,C,2,40,processing,2022-02-18T11:56:33.393000
457,C,2,54,storing_job,2022-02-18T05:39:27.862799
458,C,7,54,fetching_job,2022-02-18T07:23:23.994000
459,C,4,62,waiting_on_precedent,2022-02-18T03:06:01.434399
460,C,1,41,fetching_job,2022-02-18T10:47:37.326000
461,B,5,38,processing,2022-02-18T06:32:29.024559
462,C,6,51,processing,2022-02-18T08:59:30.853800
463,C,5,42,processing,2022-02-18T13:15:09.132600
464,C,2,65,waiting_on_precedent,2022-02-18T01:00:00
465,C,2,40,fetching_job,2022-02-18T11:51:47.393000
466,A,3,13,processing,2022-02-18T11:31:15.537200
467,B,3,32,fetching_job,2022-02-18T08:47:01.687760
468,B,4,36,processing,2022-02-18T07:26:15.124959
469,B,1,38,fetching_job,2022-02-18T01:57:14.184640
470,C,7,62,processing,2022-02-18T04:08:57.279200
471,C,4,50,processing,2022-02-18T08:51:31.837600
472,C,7,41,processing,2022-02-18T13:43:45.132600
473,C,4,51,waiting_on_precedent,2022-02-18T07:02:48.978400
474,B,3,32,waiting_on_precedent,2022-02-18T08:42:09.413959
475,B,1,32,waiting_on_next,2022-02-18T06:39:02.458759
476,D,1,66,fetching_job,2022-02-18T03:33:39.544200
477,C,6,62,fetching_job,2022-02-18T03:54:39.279200
